Time,Altitude,Freestream Velocity,Freestream Temperature,Freestream Pressure,Freestream Density
sec,m,m/s,K,Pa,kg/m^3
0,156,5.6436,300.2,1.02E+05,1.1875
0.2,156.67,11.54,300.19,1.02E+05,1.1875
0.4,158.68,25.046,300.18,1.02E+05,1.1872
0.6,163.62,43.078,300.15,1.02E+05,1.1867
0.8,175.05,73.633,299.68,1.00E+05,1.165
1,193.37,108.13,299.44,99957,1.1635
1.2,218.44,144.56,298.88,99666,1.1623
1.4,250.85,183.23,298.64,99301,1.159
1.6,290.88,223.31,298.14,98846,1.1556
1.8,338.69,264.84,297.7,98305,1.151
2,394.52,307.28,297.04,97670,1.1461
2.2,457.98,350.45,296.67,96954,1.1391
2.4,530.03,394.75,296.21,96152,1.1314
2.6,611.18,440.06,295.43,95260,1.1239
2.8,701.68,485.75,295.24,94270,1.1129
3,800.36,531.59,294.9,93205,1.1016
3.2,908.53,578.34,294.27,92044,1.0902
3.4,1026.1,625.07,293.81,90807,1.0773
3.6,1152.4,671.27,292.86,89493,1.0651
3.8,1287.4,717.19,291.6,88096,1.053
4,1431.4,763.13,290.37,86629,1.0399
4.2,1584.2,808.89,289.45,85093,1.0247
4.4,1745.7,854.69,288.71,83491,1.008
4.6,1915.9,900.09,287.65,81832,0.99157
4.8,2094.7,944.63,287.04,80127,0.97299
5,2282,988.68,285.64,78364,0.95624
5.2,2477.7,1032.1,284.11,76549,0.93911
5.4,2681.6,1075.1,282.27,74699,0.92241
5.6,2893.7,1115.2,280.55,72814,0.90463
5.8,3113.7,1140.8,279.05,70890,0.88548
6,3339,1150.6,277.51,68967,0.86625
6.2,3562.6,1143.6,276.85,67096,0.84474
6.4,3783.5,1131,277.15,65301,0.82124
6.6,4001.7,1117.2,275.57,63576,0.80415
6.8,4217,1103.7,274.12,61892,0.78699
7,4429.5,1090.4,273.75,60280,0.76752
7.2,4639.1,1077.3,272.8,58725,0.75031
7.4,4846.3,1064.6,271.17,57219,0.73547
7.6,5051,1052.5,269.82,55766,0.72038
7.8,5253.5,1040.6,268.32,54356,0.70609
8,5453.6,1029,266.61,52984,0.69269
8.2,5651.4,1018.1,266.16,51661,0.67654
8.4,5847.3,1008.6,265.37,50379,0.6617
8.6,6041,998.18,264.79,49141,0.64687
8.8,6232.6,987.94,263.65,47942,0.6338
9,6422.3,978.09,263.37,46786,0.61917
9.2,6610.3,968.41,262.77,45660,0.60566
9.4,6796.4,958.98,261.75,44561,0.59339
9.6,6980.6,949.63,260.43,43510,0.58233
9.8,7162.9,941.37,258.76,42476,0.57216
10,7343.8,933.3,257.25,41473,0.56192
10.2,7523,925.33,255.98,40496,0.55142
10.4,7700.6,917.51,254.33,39549,0.54201
10.6,7876.6,909.84,252.62,38627,0.53295
10.8,8051.2,902.43,250.89,37726,0.52411
11,8224.6,895.7,249.74,36841,0.51417
11.2,8396.3,888.35,248.68,35990,0.50443
11.4,8566.5,880.83,248.14,35156,0.49381
11.6,8735.3,873.88,247.36,34356,0.48411
11.8,8902.8,866.96,246.04,33563,0.47548
12,9069,860.64,244.42,32797,0.46769
12.2,9233.9,854.7,242.9,32050,0.4599
12.4,9397.4,848.85,241.72,31322,0.45166
12.6,9559.9,843.29,240.29,30617,0.4441
12.8,9721.4,837.99,238.86,29927,0.43671
13,9881.8,832.74,237.44,29243,0.42927
13.2,10041,827.51,235.99,28578,0.42209
