Flight Time (s),Probe Stagnation Pressure (Pa),Probe Static Pressure (Pa)
0.00,101034.72,101000.00
1.20,100857.57,100821.64
2.40,100680.46,100643.29
3.60,100503.40,100464.93
4.80,100326.37,100286.57
6.01,100149.39,100108.22
7.21,99972.45,99929.86
8.41,99795.56,99751.50
9.61,99618.71,99573.15
10.81,99441.91,99394.79
12.01,99265.16,99216.43
13.21,99088.47,99038.08
14.41,98911.82,98859.72
15.62,98735.23,98681.36
16.82,98558.70,98503.01
18.02,98382.22,98324.65
19.22,98205.80,98146.29
20.42,98029.44,97967.94
21.62,97853.15,97789.58
22.82,97676.91,97611.22
24.02,97500.75,97432.87
25.23,97324.65,97254.51
26.43,97148.62,97076.15
27.63,96972.67,96897.80
28.83,96796.78,96719.44
30.03,96620.98,96541.08
31.23,96445.25,96362.73
32.43,96269.60,96184.37
33.63,96094.03,96006.01
34.83,95918.55,95827.66
36.04,95743.15,95649.30
37.24,95567.85,95470.94
38.44,95392.63,95292.59
39.64,95217.51,95114.23
40.84,95042.48,94935.87
42.04,94867.56,94757.52
43.24,94692.74,94579.16
44.44,94518.02,94400.80
45.65,94343.41,94222.44
46.85,94168.91,94044.09
48.05,93994.52,93865.73
49.25,93820.25,93687.37
50.45,93646.09,93509.02
51.65,93472.07,93330.66
52.85,93298.16,93152.30
54.05,93124.39,92973.95
55.26,92950.74,92795.59
56.46,92777.24,92617.23
57.66,92603.87,92438.88
58.86,92430.64,92260.52
60.06,92257.56,92082.16
61.26,92084.63,91903.81
62.46,91911.86,91725.45
63.66,91739.24,91547.09
64.86,91566.79,91368.74
66.07,91394.50,91190.38
67.27,91222.38,91012.02
68.47,91050.43,90833.67
69.67,90878.67,90655.31
70.87,90707.08,90476.95
72.07,90535.69,90298.60
73.27,90364.48,90120.24
74.47,90193.48,89941.88
75.68,90022.67,89763.53
76.88,89852.07,89585.17
78.08,89681.69,89406.81
79.28,89511.52,89228.46
80.48,89341.57,89050.10
81.68,89171.85,88871.74
82.88,89002.36,88693.39
84.08,88833.11,88515.03
